video_id,has_more,cursor,count,comments_list_create_time,comments_list_user_region,comments_list_user_signature,comments_list_user_unique_id,comments_list_user_language,comments_list_user_nickname,comments_list_comment_language,comments_list_text,comments_list_digg_count,comments_list_is_author_digged,comments_list_author_pin,comments_list_share_info_desc,comments_list_share_info_title,comments_list_reply_comment_total
,,,,1678524378.0,SA,insta : 2o0vr,2o0vr,en,𓆩𝐍_𝐘𝐑𝐐𓆪,ar,النرويج >,7.0,False,False,𓆩𝐍_𝐘𝐑𝐐𓆪's comment: النرويج >,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,2.0
,,,,1678597470.0,KZ,,mid1iqzx,ru,.,ru,@пушка хочу с тобой в Щвейцарию😭🇨🇭,7.0,False,False,.'s comment: @пушка хочу с тобой в Щвейцарию😭🇨🇭,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,2.0
,,,,1678692850.0,US,"If you like, you will reap good luck (^~^)",yuxinkpph3u,zh,yuxinkpph3u,en,Emoji,20.0,False,False,yuxinkpph3u's comment: Emoji,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678502288.0,US,,user6595595249241,en,user6595595249241,en,Beautiful,17.0,False,False,user6595595249241's comment: Beautiful,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,2.0
,,,,1681799353.0,VN,No bio yet,.2164967646,vi,Hồ Minh Lý,en,This country so beautiful 🥰,0.0,False,False,Hồ Minh Lý's comment: This country so beautiful 🥰,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678482641.0,US,Que lo que,ayindebridges,en,Ayinde Bridges,en,That fact that it baffles me that this is a real place… I need to travel🤧,166.0,False,False,Ayinde Bridges's comment: That fact that it baffles me that this is a real place… I need to travel🤧,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,3.0
,,,,1681736419.0,CN,,dumplike22,,dumplike22,tl,pero pag nang landslide?,0.0,False,False,dumplike22's comment: pero pag nang landslide?,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678685283.0,CA,,insanipeo,en,zala,en,@imspedinthehead deadass one day,6.0,False,False,zala's comment: @imspedinthehead deadass one day,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678470554.0,MX,"Ig. Chuy_sebass
mty/nl",chuy_sebas,es,Jesus Sebastian,en,i need to go to visit this places🥺,72.0,True,False,Jesus Sebastian's comment: i need to go to visit this places🥺,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,2.0
,,,,1678613092.0,PK,,muhammadhuzaifa1234563,en,Khan Yousafzai897,en,song name,37.0,False,False,Khan Yousafzai897's comment: song name,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,1.0
,,,,1681649928.0,PH,???,o_lehc,en,berfc,en,@jjmonn_ moree.,2.0,False,False,berfc's comment: @jjmonn_ moree.,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,2.0
,,,,1678611643.0,IQ,"name.iraqe❤
old.17
SC.i dont know🥰
mYdream My new homeland is .󾓪❤",iim.iraqe.7,en,close.🖤,en,sO nice🥰.,8.0,False,False,close.🖤's comment: sO nice🥰.,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,1.0
,,,,1678491899.0,ID,minimalis Avatar ? ask for commission,cosmoboyss,en,jelema,id,Swiss udah kek isekai jadi tenang gitu,1942.0,False,False,jelema's comment: Swiss udah kek isekai jadi tenang gitu,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,22.0
,,,,1681628696.0,PH,,khynnemer,en,Nemua,en,If Im not gonna be born here on my next life Ill be sad,2.0,False,False,Nemua's comment: If Im not gonna be born here on my next life Ill be sad,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1681799849.0,TH,,kenshiro..888,th,Kenshiro.888,en,nice view,0.0,False,False,Kenshiro.888's comment: nice view,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678512259.0,SA,معادله بسيطة جداً اذكر الله يذكرك.,yusef_24,ar,يوسف..,ar,اللهم الجنه لنا ومن نحب ومن يحبنا ويعزنا ويقدرنا,7.0,False,False,يوسف..'s comment: اللهم الجنه لنا ومن نحب ومن يحبنا ويعزنا ويقدرنا,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678541096.0,IQ,تابعوني انستا:@qr.h12,qr_g12,ar,🔥🔥🔥,en,perfect 👍,20.0,False,False,🔥🔥🔥's comment: perfect 👍,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,1.0
,,,,1678612160.0,BD,https://www.facebook.com/mohammadnirob.mia.9,nirob_mia_,en,Ni ROB,en,My dream country 🥹one day in sha allah 🙃,7.0,False,False,Ni ROB's comment: My dream country 🥹one day in sha allah 🙃,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,1.0
,,,,1681728331.0,MY,,xkenaidiri,ms,H,,@han 🥰,1.0,False,False,H's comment: @han 🥰,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,1.0
,,,,1681821213.0,PK,,carlover_020,en,☠️ SHAH RIDER ☠️,,"@BLACK LOVER🖤✌🥀 
😞😞😞",0.0,False,False,"☠️ SHAH RIDER ☠️'s comment: @BLACK LOVER🖤✌🥀 
😞😞😞",Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678609550.0,PK,,sallu88952,en,Heart Broked again🙏😔💔,en,@queen505957 spring Switzerland 🥰🥰,7.0,False,False,Heart Broked again🙏😔💔's comment: @queen505957 spring Switzerland 🥰🥰,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678680109.0,MX,,user3095628793152,es,🔥😈13 El BANDO ANGEL👺💥,es,Se va lograr ir algún día... 🥺💪👣,10.0,False,False,🔥😈13 El BANDO ANGEL👺💥's comment: Se va lograr ir algún día... 🥺💪👣,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678630654.0,PK,"wadery G waderi😎🔥
📍Islamabadians📍
Insta:it's_lashari_sahiba
snap:marulashari",waderi_maru_lashari,en,😘🌸.ماريا_لاشاري.🌹🥰,en,heaven 🥰,10.0,False,False,😘🌸.ماريا_لاشاري.🌹🥰's comment: heaven 🥰,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678550567.0,TR,.R🖤,ahberonaldom_16,tr,.R,tr,emin ilki cennet daha güzel,11.0,False,False,.R's comment: emin ilki cennet daha güzel,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,2.0
,,,,1681645054.0,TH,,__benz.__,th,ʙ ᴇ ɴ ᴢ  亗 🕊️,th,สวยมาก🥰,0.0,False,False,ʙ ᴇ ɴ ᴢ  亗 🕊️'s comment: สวยมาก🥰,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678719238.0,GB,"📍UK
All things animal and nature.",ultanimal,en,ZZ,ms,Ma Sha Allah,6.0,False,False,ZZ's comment: Ma Sha Allah,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1681712367.0,KH,Welcome to my TikTok thanks for following 🙏⏲️⏲️🖤🖤,jollyh86,en,JH,en,Beautiful 😍 🥰🥰,2.0,False,False,JH's comment: Beautiful 😍 🥰🥰,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678633481.0,PK,"خان❤️‍🩹
Age: mai kya rakh hai🙂💔
Allah is the one🖤🥀
Pubg id 51236007394",x1_smexxy__,en,Care_Less❤️‍🩹🫀,zh,@wasifistic_ @usamakhan1410 de zi ta sakoon wai🥺 Allah's nature🥺,8.0,False,False,Care_Less❤️‍🩹🫀's comment: @wasifistic_ @usamakhan1410 de zi ta sakoon wai🥺 Allah's nature🥺,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,1.0
,,,,1681765439.0,MX,"EDWARD CULLEN 🔝
gracias por el apoyo ❤️
LOS CULLEN 🔝
1er cuenta 🔥:_fer55_",dits.cullen,es,EDITS_DE_EDWARD_CULLEN,es,una aphaca,0.0,False,False,EDITS_DE_EDWARD_CULLEN's comment: una aphaca,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678495679.0,SA,تركْتُها لكَ يا اللهُ في ثقةٍ ، أنَّ الأُمورَ على خيرٍ ستُجْريها,c8z_,ar,امجد اليافعي,ar,هذه جنة الله في الأرض فما بالك بالجنة اللتي وعدنا بها لا عينٌ رأت ولا اذنٌ سمعت ولا خطرت على قلب بشر ،، الله يجعلنا من اهلها 🌸,402.0,False,False,امجد اليافعي's comment: هذه جنة الله في الأرض فما بالك بالجنة اللتي وعدنا بها لا عينٌ رأت ولا اذنٌ سمعت ولا خطرت على قلب بشر ،، الله يجعلنا من اهلها 🌸,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,16.0
,,,,1681728390.0,LA,詩琴は日本で楽しくて楽しくて、日常的に分かち合います！ 旅行、ヨガ、スキー、グルメ、などが好きです！ 趣味が同じ人とつながっていたい,fly77639,zh-Hant,詩和遠方,en,This scenery is so beautiful wow😊😊🥰,2.0,False,False,詩和遠方's comment: This scenery is so beautiful wow😊😊🥰,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1681648637.0,ID,,ahmadyusuf8131,id,SB&SA,en,I want it,2.0,False,False,SB&SA's comment: I want it,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678563310.0,PK,Amazon,hello_alexander_,en,Hello_ Alexander,en,My Dream,10.0,False,False,Hello_ Alexander's comment: My Dream,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,1.0
